gen,best_fit,mean_fit,best_money,best_winrate,secs
0,3586,2242,3253,0.33,50
1,3474,2678,3140,0.33,49
2,3427,2890,3427,0.00,58
3,3422,3039,3422,0.00,48
4,4150,3109,3484,0.67,52
5,4643,3234,3810,0.83,47
6,4663,3198,3663,1.00,47
7,4610,3261,3610,1.00,52
8,4803,3636,3970,0.83,47
9,4930,3590,3930,1.00,58
10,4994,3703,3994,1.00,55
11,4757,3809,3923,0.83,56
12,4814,3855,3814,1.00,55
13,4797,3883,3797,1.00,55
14,4790,3846,3790,1.00,56
15,4768,3788,3768,1.00,55
16,4686,3784,3686,1.00,56
17,4848,3761,3848,1.00,55
18,4672,3748,3672,1.00,55
19,4774,3698,3774,1.00,54
20,4829,3642,3829,1.00,52
21,4824,3801,4158,0.67,51
22,4848,3958,3848,1.00,44
