gen,best_fit,mean_fit,hof_size,secs
0,3577,2326,2,114
1,3776,2882,2,105
2,3664,3019,3,101
3,3718,3221,3,115
4,3717,3227,4,125
5,3670,3247,4,144
6,3885,3451,5,139
7,3761,3281,5,150
8,3656,3345,6,195
9,3747,3496,6,196
10,3680,3442,7,228
11,3741,3429,7,175
12,3787,3527,8,199
13,3807,3477,8,195
14,3721,3537,9,218
15,3702,3535,9,199
16,3734,3472,10,249
17,3800,3516,10,238
18,3726,3528,11,238
19,3700,3473,11,229
20,3750,3433,12,215
21,3705,3447,12,188
22,3700,3452,13,138
23,3739,3439,13,130
24,3767,3497,14,137
25,3717,3565,14,148
26,3717,3437,15,150
27,3707,3459,15,136
28,3724,3533,16,138
29,3731,3467,16,132
30,3688,3494,17,131
31,3747,3485,17,141
32,3746,3381,18,139
33,3678,3494,18,140
34,3754,3533,19,139
